College Name,Type,Rating,Courses offered,Fee Start Range,Fee End Range,City,State
Andhra University,Public,3.6,34,16000,1444000,Visakhapatnam,Andhra Pradesh
KL University,Private,3.5,23,140000,1560000,Guntur,Andhra Pradesh
Sri Venkateswara University (SVU),Public,3.5,18,8000,271000,Tirupati,Andhra Pradesh
Aditya Engineering College,Private,3.7,5,54000,201000,East Godavari,Andhra Pradesh
Vignan Online,Private,0,3,110000,135000,Guntur,Andhra Pradesh
GPREC,Private,3.9,3,114000,320000,Kurnool,Andhra Pradesh
CBIT Hyderabad,Private,3.8,5,86000,536000,Kadapa,Andhra Pradesh
"Andhra University College of Engineering, Visakhapatnam",Public,3.6,0,120000,638000,Tadepalligudem,Andhra Pradesh
"GITAM Institute of Management, Visakhapatnam",Private,3.1,7,100000,327000,Visakhapatnam,Andhra Pradesh
St Ann's College for Women,Private,3.8,3,115000,198000,Visakhapatnam,Andhra Pradesh
"Bapatla Engineering College, Bapatla Education Society",Autonomous,3.7,6,114000,372000,Guntur,Andhra Pradesh
VRSEC,Private,3.9,4,11000,267000,Vijayawada,Andhra Pradesh
Gayatri Vidya Parishad College of Engineering,Private,3.7,3,114000,340000,Visakhapatnam,Andhra Pradesh
Dayananda Sagar College of Architecture,Private,0,3,150000,320000,Vijayawada,Andhra Pradesh
Shri Vishnu Engineering College for Women,Private,4.2,3,80000,373000,Bhimavaram,Andhra Pradesh
Madanapalle Institute of Technology and Science,Private,3.5,6,103000,304000,Madanapalle,Andhra Pradesh
Sri Vasavi Engineering College,Autonomous,3.3,4,45000,500000,Tadepalligudem,Andhra Pradesh
IIT Tirupati,Autonomous,4.3,4,10000,135000,Tirupati,Andhra Pradesh
Raghu Engineering College,Private,3.1,2,110000,135000,Visakhapatnam,Andhra Pradesh
SPA Vijayawada,Public,3.9,4,24000,99000,Vijayawada,Andhra Pradesh
Indira Priyadarshini Law College,Private,0,1,40000,500000,Prakasam,Andhra Pradesh
Dr. Y.S.R. Horticultural University,Public,0,3,28000,520000,Tadepalligudem,Andhra Pradesh
Vasireddy Venkatadri Institute of Technology,Private,3.6,3,20000,132000,Guntur,Andhra Pradesh
Aditya Institute of Technology and Management,Private,3,4,15000,200000,Srikakulam,Andhra Pradesh
KPR Institute of Engineering and Technology,Private,2.9,3,6000,42000,Eluru,Andhra Pradesh
G Pullaiah College of Engineering and Technology,Private,4,3,60000,336000,Kurnool,Andhra Pradesh
Aizza College of Engineering and Technology,Private,0,2,60000,336000,Adilabad,Andhra Pradesh
Rajeev Gandhi Memorial College of Engineering and Technology,Private,3.2,4,20000,1120000,Nandyala,Andhra Pradesh
NERIST Itanagar,Public,2.9,4,3000,81000,Itanagar,Arunachal Pradesh
NIT Arunachal Pradesh,Public,0,3,31000,177000,Itanagar,Arunachal Pradesh
Himalayan University Itanagar,Private,3.1,38,30000,500000,Itanagar,Arunachal Pradesh
"Rajiv Gandhi University, [RGU] - Distance Education",Public,0,1,110000,135000,Papum Pare,Arunachal Pradesh
Vignan Online,Private,0,3,70000,1080000,Guntur,Andhra Pradesh
"National Research Centre on Yak, [NRCY] Dirang",Public,0,1,48000,382000,Itanagar,Arunachal Pradesh
Apex Professional University,Private,0,10,108000,464000,Pasighat,Arunachal Pradesh
"National Institute of Technology, [NITAP] Arunachal Pradesh",Public,3.6,5,150000,760000,Papum Pare,Arunachal Pradesh
Arunodaya University,Private,0,10,15000,800000,Itanagar,Arunachal Pradesh
Arunachal University,Public,0,28,45000,625000,Lohit,Arunachal Pradesh
Dera Natung Government College,Public,2.7,3,10000,168000,Itanagar,Arunachal Pradesh
Hills College of Teachers Education,Private,0,1,110000,135000,Itanagar,Arunachal Pradesh
"Venkateshwara Open University, Pune",Private,0,27,15000,40000,Papum Pare,Arunachal Pradesh
North East Frontier Technical University,Private,0,18,72000,180000,Along,Arunachal Pradesh
Rajiv Gandhi University (RGU),Public,4.5,16,960000,0,Itanagar,Arunachal Pradesh
"Jawaharlal Nehru College, Pasighat",Private,3.5,4,120000,1730000,Pasighat,Arunachal Pradesh
"St Francis Sales College, West Siang",Private,0,1,56000,90000,Along,Arunachal Pradesh
"Indira Gandhi Technological and Medical Sciences University, Monipoliyang Campus, [IGTAMSU] Ziro",Private,0,8,6000,34000,Itanagar,Arunachal Pradesh
The Indira Gandhi Technological and Medical Sciences University,Private,0,8,320000,0,Itanagar,Arunachal Pradesh
IIT Guwahati,Public,4.1,8,27000,45000,Guwahati,Assam
Gauhati University,Public,3.1,16,336,88000,Guwahati,Assam
Tezpur University,Public,3.8,16,875000,1191000,Tezpur,Assam
NIT Silchar,Public,3.2,5,80000,304000,Silchar,Assam
Vignan Online,Private,0,3,30000,630000,Guntur,Andhra Pradesh
Royal Global University,Private,2.9,41,110000,135000,Guwahati,Assam
Jorhat Engineering College,Public,3.8,2,60000,340000,Jorhat,Assam
Dakshin Guwahati B.Ed. College,Private,0,1,13000,938000,Guwahati,Assam
"Girijananda Chowdhury Institute of Management and Technology, Guwahati",Private,3.5,8,60000,211000,Guwahati,Assam
Guwahati College of Architecture and Planning,Private,3.8,2,15000,800000,Guwahati,Assam
"Ramniranjan Jhunjhunwala College of Arts, Science and Commerce",Private,3.9,9,60000,567000,Guwahati,Assam
Assam Don Bosco University,Private,2.6,11,55000,300000,Guwahati,Assam
Assam Down Town University,Private,3.2,26,30000,53000,Guwahati,Assam
